nohup: ignoring input
[progress] wrote=4020000 skipped=103138 rows/sec=3757.9
[progress] wrote=4030000 skipped=103382 rows/sec=3763.1
[progress] wrote=4040000 skipped=103657 rows/sec=3768.2
[progress] wrote=4050000 skipped=103916 rows/sec=3773.4
[progress] wrote=4060000 skipped=104144 rows/sec=3778.6
[progress] wrote=4070000 skipped=104412 rows/sec=3783.8
[progress] wrote=4080000 skipped=104667 rows/sec=3788.9
[progress] wrote=4090000 skipped=104944 rows/sec=3794.0
[progress] wrote=4100000 skipped=105186 rows/sec=3799.1
[progress] wrote=4110000 skipped=105462 rows/sec=3739.0
[progress] wrote=4120000 skipped=105718 rows/sec=3744.0
[progress] wrote=4130000 skipped=105967 rows/sec=3749.1
[progress] wrote=4140000 skipped=106233 rows/sec=3754.1
[progress] wrote=4150000 skipped=106461 rows/sec=3759.2
[progress] wrote=4160000 skipped=106709 rows/sec=3764.2
[progress] wrote=4170000 skipped=106972 rows/sec=3769.2
[progress] wrote=4180000 skipped=107226 rows/sec=3774.2
[progress] wrote=4190000 skipped=107512 rows/sec=3779.2
[progress] wrote=4200000 skipped=107753 rows/sec=3784.2
[progress] wrote=4210000 skipped=108033 rows/sec=3789.1
[progress] wrote=4220000 skipped=108275 rows/sec=3794.1
[progress] wrote=4230000 skipped=108505 rows/sec=3799.1
[progress] wrote=4240000 skipped=108770 rows/sec=3804.0
[progress] wrote=4250000 skipped=109022 rows/sec=3809.0
[progress] wrote=4260000 skipped=109287 rows/sec=3757.8
[progress] wrote=4270000 skipped=109550 rows/sec=3762.7
[progress] wrote=4280000 skipped=109802 rows/sec=3767.6
[progress] wrote=4290000 skipped=110070 rows/sec=3772.5
[progress] wrote=4300000 skipped=110313 rows/sec=3777.3
[progress] wrote=4310000 skipped=110564 rows/sec=3782.2
[progress] wrote=4320000 skipped=110839 rows/sec=3787.0
[progress] wrote=4330000 skipped=111100 rows/sec=3791.9
[progress] wrote=4340000 skipped=111367 rows/sec=3796.7
[progress] wrote=4350000 skipped=111631 rows/sec=3801.5
[progress] wrote=4360000 skipped=111923 rows/sec=3806.3
[progress] wrote=4370000 skipped=112167 rows/sec=3811.1
[progress] wrote=4380000 skipped=112399 rows/sec=3815.9
[progress] wrote=4390000 skipped=112646 rows/sec=3820.7
[progress] wrote=4400000 skipped=112889 rows/sec=3825.5
[progress] wrote=4410000 skipped=113151 rows/sec=3740.7
[progress] wrote=4420000 skipped=113416 rows/sec=3745.4
[progress] wrote=4430000 skipped=113676 rows/sec=3750.1
[progress] wrote=4440000 skipped=113948 rows/sec=3754.7
[progress] wrote=4450000 skipped=114176 rows/sec=3759.4
[progress] wrote=4460000 skipped=114413 rows/sec=3764.1
[progress] wrote=4470000 skipped=114670 rows/sec=3768.8
[progress] wrote=4480000 skipped=114946 rows/sec=3773.4
[progress] wrote=4490000 skipped=115175 rows/sec=3778.1
[progress] wrote=4500000 skipped=115441 rows/sec=3782.7
[progress] wrote=4510000 skipped=115696 rows/sec=3787.4
[progress] wrote=4520000 skipped=115961 rows/sec=3792.0
[progress] wrote=4530000 skipped=116206 rows/sec=3796.6
[progress] wrote=4540000 skipped=116473 rows/sec=3801.2
[progress] wrote=4550000 skipped=116732 rows/sec=3805.8
[progress] wrote=4560000 skipped=117000 rows/sec=3672.9
[progress] wrote=4570000 skipped=117278 rows/sec=3677.4
[progress] wrote=4580000 skipped=117526 rows/sec=3682.0
[progress] wrote=4590000 skipped=117782 rows/sec=3686.4
[progress] wrote=4600000 skipped=118051 rows/sec=3691.0
[progress] wrote=4610000 skipped=118306 rows/sec=3695.5
[progress] wrote=4620000 skipped=118548 rows/sec=3700.0
[progress] wrote=4630000 skipped=118815 rows/sec=3704.5
[progress] wrote=4640000 skipped=119063 rows/sec=3709.0
[progress] wrote=4650000 skipped=119346 rows/sec=3713.5
[progress] wrote=4660000 skipped=119603 rows/sec=3718.0
[progress] wrote=4670000 skipped=119868 rows/sec=3722.4
[progress] wrote=4680000 skipped=120123 rows/sec=3726.9
